"","iso3c","idea_pct"
"20","AND",0.76
"40","AFG",0.75
"60","AGO",0.52
"80","ALB",0.69
"100","ARG",0.55
"120","ARM",0.78
"140","ATG",0.25
"160","AUS",0.31
"180","AUT",0.07
"200","AZE",0.79
"220","BDI",0.37
"240","BEL",0.65
"260","BEN",0.57
"280","BFA",0.3
"300","BGD",0.55
"320","BGR",0.86
"340","BHR",0.26
"360","BHS",0.04
"380","BIH",0.83
"400","BLR",0.56
"420","BLZ",0.05
"440","BOL",0.41
"460","BRA",0.72
"480","BRB",0.05
"500","BTN",0.9
"520","BWA",0.3
"540","CAF",0.21
"560","CAN",0.84
"580","CHE",0.07
"600","CHL",0.55
"620","CIV",0.5
"640","CMR",0.25
"660","COD",0.38
"680","COL",0.77
"700","COM",0.33
"720","CRI",0.71
"740","CYP",0.54
"760","CZE",0.21
"780","DEU",0.14
"800","DJI",0
"820","DMA",0.07
"840","DNK",0.19
"860","DOM",0.29
"880","DZA",0.58
"900","ECU",0.86
"920","EGY",0.43
"940","ESP",0.35
"960","EST",0.52
"980","ETH",0.5
"1000","FIN",0.57
"1020","FJI",0.75
"1040","FRA",0.65
"1060","GAB",0.26
"1080","GBR",0.48
"1100","GEO",0.59
"1120","GHA",0.39
"1140","GIN",0.53
"1160","GMB",0.22
"1180","GNB",0.52
"1200","GNQ",0.8
"1220","GRC",0.8
"1240","GRD",0.07
"1260","GTM",0.57
"1280","GUY",0.07
"1300","HND",0.58
"1320","HRV",0.81
"1340","HTI",0.6
"1360","HUN",0.36
"1380","IDN",0.64
"1400","IND",0.04
"1420","IRL",0.19
"1440","IRN",0.33
"1460","IRQ",0.14
"1480","ISL",0.21
"1500","ISR",0.1
"1520","ITA",0.48
"1540","JAM",0.16
"1560","JOR",0.34
"1580","JPN",0.22
"1600","KAZ",0.56
"1620","KEN",0.69
"1640","KGZ",0.7
"1660","KHM",0.27
"1680","KOR",0.9
"1700","LBN",0.33
"1720","LBR",0.63
"1740","LBY",0.5
"1760","LIE",0
"1780","LKA",0.26
"1800","LSO",0.24
"1820","LTU",0.72
"1840","LUX",0.46
"1860","LVA",0.93
"1880","MAR",0.42
"1900","MDA",0.83
"1920","MDG",0.28
"1940","MDV",0.45
"1960","MEX",0.81
"1980","MKD",0.77
"2000","MLI",0.37
"2020","MLT",0.46
"2040","MMR",0.3
"2060","MNG",0.84
"2080","MOZ",0.48
"2100","MRT",0.29
"2120","MUS",0.12
"2140","MWI",0.07
"2160","MYS",0.18
"2180","NAM",0.07
"2200","NER",0.47
"2220","NGA",0.47
"2240","NIC",0.32
"2260","NLD",0.28
"2280","NOR",0.33
"2300","NPL",0.44
"2320","NZL",0.03
"2340","PAK",0.48
"2360","PAN",0.48
"2380","PER",0.74
"2400","PHL",0.13
"2420","PNG",0.53
"2440","POL",0.84
"2460","PRT",0.57
"2480","PRY",0.04
"2500","ROU",0.73
"2520","RUS",0.84
"2540","RWA",0.42
"2560","SDN",0.5
"2580","SEN",0.21
"2600","SGP",0.41
"2620","SLE",0.63
"2640","SLV",0.19
"2660","SRB",0.78
"2680","STP",0.82
"2700","SUR",0.17
"2720","SVK",0.59
"2740","SVN",0.83
"2760","SWE",0.27
"2780","SWZ",0.04
"2800","SYC",0.32
"2820","SYR",0.39
"2840","TCD",0.23
"2860","TGO",0.54
"2880","THA",0.58
"2900","TJK",0.69
"2920","TKM",0.37
"2940","TTO",0.47
"2960","TUN",0.84
"2980","TUR",0.06
"3000","TWN",0
"3020","UGA",0.5
"3040","UKR",0.73
"3060","URY",0.71
"3080","USA",0.71
"3100","UZB",0.63
"3120","VEN",0.45
"3140","WSM",0.2
"3160","YEM",0
"3180","ZAF",0.17
"3200","COD",0.38
"3220","ZMB",0.19
"3240","ZWE",0.27
